Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Brioche tranchée à la crème fraîche - La Fournée Dorée - 500,3587222521508,500 g,Non végétarien,France,La Brioche Tranchée à la Crème Fraîche
Sprite - 0.,54491069,0.5l,NON,"Belgique, France, Allemagne, Maroc, La Réunion, Roumanie, Serbie, Royaume-Uni, en:Czarnogóra, en:Francja, en:Polska, en:Szwajcaria",Soda
Nesquik Cereali 330G Exp 10 - Nestle - 330,7613033212949,330 g,NON,"Autriche, France, Allemagne, Italie, Suisse",
NESTLE DESSERT Noir 205g - 205,7613035040700,205 g,NON,France,Chocolat noir supérieur
Concentré de tomates - Mutti - 130,80042532,130 g,Végétarien,"Australie, France, Italie, Pays-Bas, Espagne, Suisse",Double concentré de tomate
Magnum Glace Bâtonnet Double Caramel 4x88ml - 292 g,8712100849084,292 g e,Non végétarien,"Belgique, France, Allemagne","Ice cream with vanilla from Madagascar, coated in a fat reduced cocoa coating (8%), caramel sauce (19%) and milk chocolate (24%)."
MAGGI Bouillon KUB Légumes Sel Réduit 120g - 120,7613036750011,120 g,Non végétarien,France,"Bouillon déshydraté aux légumes, aromatisé"
Juiced Monster Mango Loco - 500,5060517889852,500ml,NON,France,Juiced Monster© Mango Loco
Gourmand et végétal riz au lait de coco - Andros - 400,3608580968252,400 g,Végétarien,France,
SANPELLEGRINO Momenti boisson gazeuse aromatisée Grenade Cassis 33cl - San pellegrino - 330 ,8002270686672,330 ml,NON,France,Boisson pétillante avec du jus de grenade à base de concentré et du jus de cassis à base de concentré
"Huile d'olive vierge extra - Carapelli - 0,75",8002470030923,"0,75 L",Végétarien,France,
Filet de maquereaux grillés nature - Petit Navire - 110 g poids n,3019081241582,110 g poids net,Non végétarien,France,
Pain grillé - Brioche Pasquier - 20 t,3182180002474,20 tr.,Non végétarien,France,
PastaBox pâtes fraiches à la bolognaise - SODEBO - 330,3242272270157,330 g,Non végétarien,France,
NESTLE DESSERT Pâte à tartiner 590g - 590,7613287596413,590 g,Non végétarien,France,Pâte à tartiner au cacao et aux noisettes
Granola - OneDayMore - 50,5902884465911,500g,Non végétarien,France,
Tube de lait concentré sucré - Régilait - 300,3043934273802,300 g,Non végétarien,France,Lait Concentré Sucré
Yaourt au Lait Entier saveur Vanille - Malo - 4x125,3278692111169,4x125 g,Non végétarien,France,Yaourt au lait entier pasteurisé sucré saveur vanille
Confiserie - Ferrero - 23,4008400183022,230g,NON,"Autriche, Belgique, Bulgarie, France, Allemagne, Hongrie, Pologne, Suisse",
Yfood vanille - 500,4260556630007,500ml,Non végétarien,"France, Allemagne, en:Deutschland","Laktosefreies Milchmischerzeugnis mit Vanillegeschmack und Pflanzenölen. Mit Süßungsmitteln. Mit hohem Proteingehalt, Vitaminen und Mineralstoffen. Ultrahocherhitzt. Mit 1,5 % Fett im Milchanteil."
Mini Chupa Chups - 180,4601798030055,180 g,NON,France,"Sucettes aux goûts assortis: goûts fraise, pomme, orange et cola"
"Framboises - Nakd - 140 g, 4 barr",5060088705148,"140 g, 4 barres",Végétarien,"Belgique, République tchèque, France, Pays-Bas",Barres aux fruits et fruits à coque
Monster Energy Ultra - 500 ,5060335635808,500 ml,NON,"France, Espagne",Boisson énergisante gazeuse sans sucre
Chocolat Noir Pur 72 % - Villars - 10,7610036002737,100g,Végétarien,"Croatie, France, Maroc, Suisse",Chocolat noir 72%
"KITKAT 4 Finger Barre au chocolat au Lait, 41,5g en lot de 10 - Nestlé - 415",7613035366749,415 g,Non végétarien,"Belgique, Finlande, France, Espagne, Royaume-Uni","Gaufrette croustillante (31,8%) enrobée de chocolat au lait (68,2%)"
Pâte à pizza Fine & Ronde - Herta - 265,7613035648494,265 g,NON,France,Pâte à Pizza Fine & Ronde
Philadelphia Balance - 175,7622300318147,175 g,Non végétarien,"Autriche, France, Allemagne, Italie, Suisse","Frischkäsezubereitung der Fettstufe, wärmebehandelt."
Collezione Lasagne - Barilla Collezione - 50,8076809523738,500g,Végétarien,"France, Allemagne, Irlande, Italie, Mexique, Norvège, Suisse",Teigwaren aus Hartweizengriess
Leerdammer léger - 8 tranches 200,8721800021706,8 tranches 200 g,Non végétarien,France,Fromage
Actimel - dano,3033491460869,NON,NON,"France, Espagne, en:Afganistán, en:Francia","Spécialité laitière fermentée à boire au L casei , nature, avec sucres et enrichie en vitamines B6 et D"
Le Petit Pot de Crème au Chocolat - La Laitière - 400 g (4× 100 g),3023290035801,400 g (4× 100 g) e,Non végétarien,France,
SANPELLEGRINO Momenti boisson gazeuse aromatisée clémentine pêche 33cl - 330 ,8002270666667,330 ml,NON,France,Boisson pétillante avec du jus de clémentine à base de concentré et du jus de pêche à base de concentré
Pur jus d orange - Solevita - ,4056489258292,1l,Végétarien,France,100% pur fruit pressé
Chips - Vico - L'extra craquante nature - 150,3336972006014,150 g,NON,France,Chips de pommes de terre ondulées salées natures
Kinder cereal - 6 étuis de 2 biscuits - 20,8000500376409,6 étuis de 2 biscuits - 204g,Non végétarien,"France, Italie",
Granola Gros éclats de Chocolat - LU - 184 g (8 biscuit,3017760756297,184 g (8 biscuits),NON,"France, Martinique",Biscuits aux morceaux de chocolat et aux amandes caramélisées
Actimel Gout Multi Fruits - Danone - 8 x 100,3033491213212,8 x 100 g,NON,"France, Allemagne",
Génoise chocolat orange Gerblé sans sucres - 140,3175681187962,140 g,Non végétarien,"France, Suisse",
Sucre en poudre - Saint-Louis - 1 ,3220035150007,1 kg,Végétarien,France,Sucre en poudre
Mini brioches tressées - Harrys - 210,3228857000661,210 g,Non végétarien,France,Petite brioche au sucre perlé
Galettes aux 4 céréales. - Bjorg - 130g (17 galettes x 7.6g enviro,3229820794631,130g (17 galettes x 7.6g environ),NON,"France, Suisse",
"Tropicana Essentiels Vitalité pomme, banane, kiwi, ananas, épinard vitamine C & magnésium 1 L - 1000 ",3502110010643,1000 ml,NON,France,"Mélange à base de 4 fruits, épinard et eau de pomme, enrichi en magnésium et en vitamine C, avec arôme naturel."
M&M's Peanut - Mars - 300,4011100001305,300 g,Non végétarien,"France, Allemagne",Cacahuètes (23%) enrobées de chocolat au lait (48%) et dragéifiées
"Soupe Miso Tofu instantanée Algues - Hikari miso - 57,9",4902663010197,"57,9 g",NON,France,
"Super Granola Graines de Tournseol, Miel & Amandes - Eat natural - 500 g",5013803000035,500 g e,Non végétarien,"France, Espagne, en:Francia",
NESTLE CRUNCH Céréales 750g - 750,7613034932266,750 g,NON,"France, Suisse","Céréales aromatisées, prêtes à consommer et sources de 7 vitamines, calcium et fer"
Hanuta 10er - Ferrero - 2,8000500272442,22g,Non végétarien,"France, Allemagne, Suisse",10 Haselnuss-Schnitten
Spaghettoni n°7 - Barilla - 500,8076808150072,500 g,Végétarien,"Australie, Belgique, France, Allemagne, Grèce, Espagne, Suisse",Pâtes alimentaires de qualité supérieure
Red Bull 250 ml - 250,90162909,250ml,Non végétarien,"Belgique, France, Allemagne, Luxembourg, Pays-Bas, Suisse",
Organic Vegan Block - Naturli - 200.0,5701977000097,200.0 g,Végétarien,"France, Allemagne, Suisse, Royaume-Uni, en:Danemark",
Biscottes 3 Céréales 3 Graines - LU - 15,7622210691392,150g,NON,France,biscottes 3 céréales 3 graines
Muesli 4 nuts - Crownfield - 600,4056489210016,600 g,Non végétarien,"Belgique, France, Italie, Espagne",
Happy hippo biscuit - Kinder - 103.5,8000500362303,103.5 g,Non végétarien,France,Biscuit kinder happy hippo t5
AMORA Mayonnaise De Dijon 5 Ingrédients sélectionnés - Offre Saisonnière - Flacon Souple 400g - 400,8710522918630,400 g,NON,France,Mayonnaise.
"Volvic Infusion Bio Thé Noir Pêche - 0,75",3057640556913,"0,75 l",NON,"Belgique, France",
Hipro Mangue - Danone - 300,3033491729218,300 g,NON,France,
Milde Orange - Hohes C - ,4048517701924,1l,Végétarien,"France, Allemagne",
Yaourt brassé aux fruits - LIGHT & FREE - 8 x 125,3033490006099,8 x 125 g,Non végétarien,France,
Moutarde Dijon - Roleski - 175,5901044016840,175 g,Végétarien,"France, Allemagne, Pologne",
Chargement… - Ancel - 200,3018930004903,200 g,Végétarien,"France, Guadeloupe",Biscuits salés
Chocolat rocher noir - LindtLindt Création - 150,3046920042932,150 g,Non végétarien,"France, Allemagne","Chocolat noir, extra-fin traditionnel, fourré aux pralinés amandes et noisettes et aux noisettes croustillantes"
Happy Box - Haribo - 600 g,3103220033838,600 g e,Non végétarien,"France, Suisse",Confiserie assortie
Pains au lait format familial x 20 - Brioche Pasquier - 700 g  (2 x 350 ,3256540000704,700 g  (2 x 350 g),Non végétarien,"France, Suisse",pain au lait
Yaourt à la vanille bio - Malo - 4*125,3278699005027,4*125 g,Non végétarien,France,"Yaourt au lait pasteruisé sucré à la vanille, issu de l'agriculture biologique"
La Tajine de Boeuf et ses Légumes du Soleil - Fleury Michon - 350,3302740368103,350 g,Non végétarien,"France, Serbie","Tajine de boeuf, plat cuisine"
Le Filet de Poulet et ses Pommes de Terre à la Sarladaise - Fleury Michon - 300,3302748427024,300 g,Non végétarien,France,Pommes de terre sarladaises et filet de poulet
Chocapic 🍫 strong In Chocolaté 🍫 - Nestlé - 150,3387390406849,150 g,Non végétarien,France,"Barre de céréales au chocolat en poudre, enrichies en 5 vitamines, calcium et fer"
Pain d'Epices au Miel 🍯 - Brossard - 350,3498425800058,350 g,Non végétarien,"France, en:Francia, en:Suiza",Pain d'épices au miel
Quinoa gourmand parfumé ép. douces - Tipiak - 250,3600900020497,250 g,Non végétarien,"France, en:Royaume-Uni","Préparation à base de quinoa et de blé dur, précuite"
Twix x5 - 25,5000159451666,250g,Non végétarien,"France, Allemagne, Portugal, en:Allemagne, en:Malte, en:Pays-Bas, en:Royaume-Uni, en:Suisse","Biscuit (26%), nappage au caramel (32%) enrobé de chocolat au lait (35%)."
Nesquick - Nestlé - 500,7610100088056,500 g,NON,"Belgique, France, Allemagne, Luxembourg, Pays-Bas, Espagne, Suisse",
Heudebert Blé complet - 280,7622210941480,280 g,Végétarien,"France, Nouvelle-Calédonie",
Milka & Oreo - 100,7622300631574,100 g,Non végétarien,"France, Italie, Maroc, Portugal, Espagne",
Knorr Soupe Liquide Mouliné de Légumes Variés 1L - 1000 ,8714100769362,1000 ml,Non végétarien,"France, Luxembourg",Soupe.
Amora Moutarde Douce Flacon Souple 260g - 260,8722700202387,260 g,NON,France,Moutarde douce.
Bjorg - 1,3229820799650,120,Non végétarien,France,
"Fruit & nut - Nature Valley - 120 g, 4 barres de 30",8410076611017,"120 g, 4 barres de 30 g",Végétarien,France,"Barre aux cacahuètes, amandes, raisins et cranberries (canneberges) avec arôme naturel"
Bio crackers - MAÎTRE JEAN PIERRE - 20,4056489546108,200g,NON,France,
Belvita Petit-Déjeuner Original - LU - 40,3017760307499,400g,Non végétarien,"Belgique, France, Suisse","Biscuits aux céréales et au lait enrichis en fer, en calcium et en magnésium"
250g HARICOTS ROUGES DAUCY - D'aucy - 250,3017800078846,250 g,Végétarien,France,haricots rouges
Haricots verts extra fins & rangés - D'aucy - 2x440,3017800207901,2x440 g,Végétarien,France,Haricots verts extra fins
Tourtel 27.5 cl Tourtel Twist Lime 0.0 DEGRE ALCOOL - 275 ,3080216050751,275 ml,NON,France,Boisson sans alcool à base de bière aux jus de citron vert aromatisée citron vert et menthe
Kellogg's Barres Frosties 6x25g - 150,3159470204634,150 g,Non végétarien,France,"Barre de pétales de maïs au lait, enrichie en vitamine D et en calcium."
"Levure de boulanger traditionnelle - Vahiné - 48 g, 6 sache",3179142054589,"48 g, 6 sachets",Végétarien,"France, en:Frankrijk",Levure de boulangerie traditionnelle
Fruit Stick - Framboise - Nature Addicts - 40,3609200001847,40 g,NON,"France, Suisse",Sticks de fruits à base de purées et jus de fruits concentrés
Ü-Ei - Kinder - 1p,40084107,1pcs,Non végétarien,"Australie, France, Allemagne",
"Paulaner Spezi - 0,",4066600603405,"0,5l",Végétarien,"France, Allemagne, Suisse",
Coca-Cola Zéro sucres - 50 ,5000112558265,50 cl,NON,"Belgique, France, Allemagne, Suisse","Boisson rafraîchissante aux extraits végétaux, avec édulcorants"
NESTLE CHOCAPIC Céréales 1kg - 1000,7613032779566,1000 g,NON,"France, Suisse","Céréales aromatisées prêtes à consommer enrichies en 7 vitamines, calcium et fer"
Corn Flakes - Kellogg's - 375,8010265640202,375 g,NON,"France, Grèce, Italie, Espagne",
Spaghetti sans gluten - Barilla - 40,8076809545440,400g,NON,"Belgique, Danemark, France, Allemagne, Italie, Pays-Bas, Norvège, Suède, Suisse",Spécialité céréalière sans gluten
